Name,Canary Rockfish BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyears,68,,1940-2007 Modelling document,Historical years of fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spat_targ,1,1,Not currently used in v3.2.2,Spatial targetting of the fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fsd,0,0,Don't need this as we have annual F estimates,Extra-EffLower/EffUpper trend interannual variability in effort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qinc,-0.1,0.1,Minor changes in fishing efficiency as per stock assessment,% yr-1 changes in catchability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qcv,0.01,0.03,A guess at the possible variability in fishing efficiency among years (F E-1),Interannual variability in catchability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffYears,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
EffLower,0.01,0.01,0.04,0.12,0.05,0.52,0.27,0.16,0.24,0.3,0.29,0.26,0.25,0.11,0.12,0.15,0.14,0.13,0.1,0.16,0.14,0.21,0.34,0.26,0.16,0.21,0.32,0.27,0.57,0.46,0.38,0.38,0.12,0.34,0.38,0.32,0.5,0.41,0.66,0.45,0.34,0.2,0.37,0.71,0.99,0.9,0.75,0.93,1.25,1.35,1.31,1.2,1.31,1.15,1.27,0.98,0.82,0.85,0.99,1.14,1.06,1.17,1.35,1.4,1.47,1.81,1.66,1.8
EffUpper,0.02,0.02,0.1,0.28,0.13,1.22,0.64,0.37,0.56,0.7,0.68,0.61,0.58,0.26,0.28,0.35,0.34,0.31,0.23,0.37,0.32,0.5,0.8,0.61,0.37,0.5,0.74,0.62,1.34,1.07,0.89,0.88,0.28,0.79,0.88,0.74,1.18,0.95,1.54,1.06,0.79,0.47,0.86,1.66,2.32,2.09,1.75,2.18,2.92,3.16,3.05,2.8,3.05,2.68,2.96,2.29,1.91,1.99,2.3,2.66,2.47,2.72,3.14,3.28,3.43,4.22,3.88,4.19
SelYears,NA,,"Not specified, time-invariant selectivity assumed",Years corresponding with shifts in selectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbsSelYears,NA,,"Not specified, time-invariant selectivity assumed",Labels for years (graphing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5,32.48,41.68,Figure 29 of the Assessment,Length at 5% vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFS,47.25,53.56,Figure 29 of the Assessment,Length at full selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vmaxlen,1,1,Figure 29 of the Assessment,Vulnerability of longest fish (dome shapedness),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5Lower,NA,,"Not specified, time-invariant selectivity assumed",Time varing length at 5% vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5Upper,NA,,"Not specified, time-invariant selectivity assumed",Time varing length at 5% vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFSLower,NA,,"Not specified, time-invariant selectivity assumed",Time varying length at full  vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFSUpper,NA,,"Not specified, time-invariant selectivity assumed",Time varying length at full  vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VmaxLower,NA,,"Not specified, time-invariant selectivity assumed",Time varying vulnerability of longest fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VmaxUpper,NA,,"Not specified, time-invariant selectivity assumed",Time varying vulnerability of longest fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isRel,0,,Vulnerabillity is in absolute units (cm),Is vulnerability parameterized in terms of a fraction of length at maturity (isRel =1) or in absolute terms (e.g. cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
