Name,LOT_Stock_IOTC,,,,,,,,,,,,,,,,,,
maxage,12,,,,,,,,M,age,10,11,12,13,14,15,16,17,18
R0,1000,,,arbitary scale-less,,,,,0.38,,0.022370772,0.015298508,0.010462059,0.007154598,0.004892754,0.003345965,0.002288177,0.001564796,0.001070103
M,0.38,0.82,,from WPNT06-17 pdf: 0.38 ? M ? 0.82,,,,,0.82,,0.000274654,0.000120966,5.32773E-05,2.3465E-05,1.03347E-05,4.55174E-06,2.00473E-06,8.82948E-07,3.88878E-07
Msd,0,0.1,,moderate interannual variability,,,,,0.6,0.386169028,0.216666667,,,,,,,,
Mgrad,-0.05,0.05,,not strongly increasing / decreasing M,,,,,,,,,,,,,,,
h,0.3,0.95,,no idea: a principal source of uncertainty,,,,,,,,,,,,,,,
SRrel,1,,,Beverton-Holt SR relationship similar to other small tunas,,,,,,,,,,,,,,,
Linf,110,135.4,,0.32,0.23,0.35,0.51,0.41,0.4,0.49,0.23,0.55,0.35,0.48,0.18,,IOTC–2015–WPNT05–DATA13,,
K,0.23,0.55,,110,135.4,133.72,123.5,122.9,131.8,133.6,133.8,,IOTC–2015–WPNT05–DATA13,,,,,,
t0,-0.03,0,,,,,,,,,,,,,,,,,
Ksd,0,0.01,,very little inter-annual variability in K,,,,,,,,,,,,,,,
Kgrad,-0.05,0.05,,not strongly increasing / decreasing K,,,,,,,,,,,,,,,
Linfsd,0,0.01,,very little inter-annula variability in Linf,,,,,,,,,,,,,,,
Linfgrad,-0.05,0.05,,not strongly increasing / decreasing Linf,,,,,,,,,,,,,,,
recgrad,0,0,,no trend in recruitment,,,,,,,,,,,,,,,
a,0.00002,,,IOTC–2015–WPNT05–DATA13,,,,,,,,,,,,,,,
b,2.83,,,IOTC–2015–WPNT05–DATA13,,,,,,,,,,,,,,,
D,0.2,0.8,,no idea: a principal source of uncertainty,,,,,,,,,,,,,,,
L50,35,45,,~ 40 cm ,longtail supporting information,,,,,,,,,,,,,,
L50_95,5,10,,Subjective: robustness test?,,,,,,,,,,,,,,,
Perr,0.15,0.3,,no idea: a principal source of uncertainty,,,,,,,,,,,,,,,
AC,0.1,0.9,,no idea,,,,,,,,,,,,,,,
Size_area_1,0.5,0.5,,unused in DLMtool 4.1,,,,,,,,,,,,,,,
Frac_area_1,0.05,0.2,,a notional closed area,,,,,,,,,,,,,,,
Prob_staying,0.85,0.98,,a level of stock viscosity,,,,,,,,,,,,,,,
Source,IOTC–2015–WPNT05–DATA13 and ,,,,,,,,,,,,,,,,,,
